,Unnamed: 0,Unnamed: 0.1,isbn,title,rating,age,UserID,description,num_pages,image_url,emotion_NRC,emotion_NRC_objective
0,121,121,763672939,Shh! We Have a Plan,5.0,3,99,"“A masterful delight, this crafty caper has huge kid appeal and a title/refrain that will easily sneak into the family lexicon: 'Shh! We have a plan.' ” —School Library Journal (starred review) Four friends creep through the woods, and what do they spot? An exquisite bird high in a tree! “Hello birdie,” waves one. “Shh! We have a plan,” hush the others. They stealthily make their advance, nets in the air. Ready one, ready two, ready three, and go! But as one comically foiled plan follows another, it soon become",40,https://images.gr-assets.com/books/1400889912m/20819651.jpg,"{'Anger': 0.0, 'Anticipation': 0.24971958804935246, 'Disgust': 0.01748750892219843, 'Fear': 0.051493830937085754, 'Joy': 0.2826042622616498, 'Sadness': 0.041449984704802684, 'Surprise': 0.09044560008157437, 'Trust': 0.26679922504333636}",
1,174,174,670011487,Henry and the Bully ,5.0,3,141,"Favorite author Nancy Carlson tackles the age-old problem of bullying The lovable Henry is back--and he's being bullied on the soccer field at school! When no one's advice seems to help, it's up to Henry to solve his bully problem for himself. Classroom favorite Nancy Carlson encourages young readers to use creativity and empathy to deal with one of childhood's toughest challenges.",0,https://covers.openlibrary.org/b/id/9620484-L.jpg,"{'Anger': 0.2003494467093768, 'Anticipation': 0.15026208503203262, 'Disgust': 0.0, 'Fear': 0.19103086779266157, 'Joy': 0.05824111822947001, 'Sadness': 0.1683168316831683, 'Surprise': 0.0, 'Trust': 0.2317996505532906}",
2,8,8,9781465444578,Sea Otters,5.0,4,8,"Get a close-up look at the lives of sea otters and watch them eat, play, groom, and dive together. Filled with bold, adorable images of these aquatic creatures in their natural habitat, Sea Otters explores a day in the life of these furry, whiskered marine mammals. Perfect for 3–5 year olds learning to read, Level 1 titles contain short, simple sentences with an emphasis on frequently used words. Stunning photographic images with labels provide visual clues to introduce and reinforce vocabulary. Trusted by parents, teachers, and librarians, and loved by kids, DK's leveled reading series is now revised and updated. With shiny new jackets and brand new nonfiction narrative content on the topics kids love, each book is written and reviewed by literacy experts, and contains a glossary and index making them the perfect choice for helping develop strong reading habits for kids ages 3–11.",24,https://covers.openlibrary.org/b/id/9588178-L.jpg,"{'Anger': 0.020142900577683188, 'Anticipation': 0.2083460018242627, 'Disgust': 0.0445424141076315, 'Fear': 0.10785953177257526, 'Joy': 0.23190939495287324, 'Sadness': 0.017786561264822136, 'Surprise': 0.05404378230465187, 'Trust': 0.3153694131955001}",
3,191,191,805068481,Alphabet Under Construction,5.0,4,155,"Mouse is hard at work constructing each letter of the alphabet. He dyes the D, erases the E, and folds the F. Mouse works his way right through to Z, constructing an alphabet that surpasses even the wildest artistic imagination. A bright, beautiful concept book from best selling picture book Denise Fleming.",0,https://images.gr-assets.com/books/1312030185m/3634186.jpg,"{'Anger': 0.0, 'Anticipation': 0.30377622377622376, 'Disgust': 0.0, 'Fear': 0.12419580419580419, 'Joy': 0.29454545454545455, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.2774825174825175}",
4,205,205,439341167,Scooby-Doo: Football Fright,3.0,4,163,"Scooby-Doo, that lovable and funny canine super sleuth, is a Scholastic star. The mysteries in this reading format are easy to read and fun to solve.   The Scooby-Doo Readers are a level above the Picture Clue Books. The text is easy to read and the art is bold and full-bleed, making these an appealing Level 2 reader.  Go team! Scooby loves to cheer for their favorite football team, but there's something cool about the fans at this game. Are space aliens watching the game as well? It looks like another adventure for Scooby!",32,https://covers.openlibrary.org/b/id/6560492-L.jpg,"{'Anger': 0.05539889020285636, 'Anticipation': 0.19435095060493043, 'Disgust': 0.04762121349949968, 'Fear': 0.11657418357136361, 'Joy': 0.2558901118893841, 'Sadness': 0.030610388429000268, 'Surprise': 0.07463840625852815, 'Trust': 0.22491585554443738}",
5,234,234,9780689802461,Lousy Rotten Stinkin' Grapes,5.0,4,149,"Sly. Clever. Smart. That is what fox tells everyone about himself. This retelling with a slight twist of Aesop's fable ""The Fox and the Grapes"" is a delightful story for young readers. Children will love following the story of Fox's attempts to reach grapes hanging high on a vine. The beautiful color illustrations bring the story to life.",0,https://covers.openlibrary.org/b/id/9297949-L.jpg,"{'Anger': 0.6057142857142856, 'Anticipation': 0.0, 'Disgust': 0.39428571428571424, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",
6,52,52,803736800,Dragons Love Tacos,5.0,5,51,"A #1 New York Times bestselling phenomenon, this deliciously funny read-aloud from the creators of Robo-Sauce and Secret Pizza Party will make you laugh until spicy salsa comes out of your nose. Dragons love tacos. They love chicken tacos, beef tacos, great big tacos, and teeny tiny tacos. So if you want to lure a bunch of dragons to your party, you should definitely serve tacos. Buckets and buckets of tacos. Unfortunately, where there are tacos, there is also salsa. And if a dragon accidentally eats spicy salsa . . . oh, boy. You're in red-hot trouble. The award-winning team of Adam Rubin and Daniel Salmieri has created an unforgettable tale of new friends and the perfect snack.",0,https://images.gr-assets.com/books/1326100121m/13337050.jpg,"{'Anger': 0.06129643270546143, 'Anticipation': 0.12538145848679363, 'Disgust': 0.021361675260444066, 'Fear': 0.10607176681048089, 'Joy': 0.3332105650847101, 'Sadness': 0.05382510786067557, 'Surprise': 0.0912869620119962, 'Trust': 0.20756603177943808}",
7,67,67,9781512403145, Dino-racing,5.0,5,62,"In this installment of dino competition, meat eaters face off against plant
eaters in three high-speed auto events: drag racing, off-road racing, and
stock-car racing. Lisa Wheeler's rhymes explore thoughtful questions such
as: Which dinosaurs would make the best chasers for support in a desert
off-road race? Does T-Rex's king status transfer to the track? And can
Diplosaurus actually fit inside a stock car? Barry Gott's illustrations
bring all the hilarious action to life.",32,http://books.google.com/books/content?id=_HpeDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"{'Anger': 0.09788157223072998, 'Anticipation': 0.26008167432363444, 'Disgust': 0.025906074527820316, 'Fear': 0.12557427258805512, 'Joy': 0.1735579377233282, 'Sadness': 0.04389994895354772, 'Surprise': 0.05883103624298111, 'Trust': 0.21426748340990298}",
8,182,182,9780375966699,Sleepy Hollow Sleepover,0.0,5,149,"Dink, Josh, and Ruth Rose are enjoying Halloween fun in Sleepy Hollow, New York, but when unplanned spooky things start happening, they investigate whether a real headless horseman might be to blame. Z was just the beginning! With A to Z Mysteries® Super Editions, chapter book readers keep on collecting clues and solving mysteries with Dink, Josh, and Ruth Rose. Now with over 8 million copies in print, this classic kid-favorite series is back with a bright new look! Is there a real Headless Horseman haunting Sleepy Hollow? Dink, Josh, and Ruth Rose will sleep in a cabin, take a haunted hayride, and go to a party near an old graveyard. But strange things start happening that don’t seem to be part of the spooky fun. Has the famous ghost story come to life?",0,https://covers.openlibrary.org/b/id/6454962-L.jpg,"{'Anger': 0.0692715042221268, 'Anticipation': 0.43366251610133105, 'Disgust': 0.053671103477887505, 'Fear': 0.0, 'Joy': 0.2767997710032918, 'Sadness': 0.0334907685702018, 'Surprise': 0.0492342922570488, 'Trust': 0.0838700443681122}",
9,201,201,9780062083081,Fancy Nancy: Too Many Tutus,4.0,5,161,"In this Fancy Nancy I Can Read story from New York Times bestselling team Jane O’Connor and Robin Preiss Glasser, there’s no such thing as too many tutus! Or is there? Fancy Nancy's closet is bulging (that's a fancy way of saying it won't close). Nancy's mom thinks she should give away some of her tutus—but Nancy knows a fancy girl can never have too many tutus! But when Ms. Glass tells her class they will have a fancy swap-and-shop at school, will Nancy bring in some tutus to trade? And what happens when she finds the tutu of her dreams? Fancy Nancy: Too Many Tutus is a Level One I Can Read book, which means it's perfect for children learning to sound out words and sentences. The back matter features a list of the rich vocabulary words that are used throughout the story along with their definition.",0,https://covers.openlibrary.org/b/id/7521444-L.jpg,"{'Anger': 0.0, 'Anticipation': 0.2586936522539099, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.3258509659613616, 'Sadness': 0.0029438822447102123, 'Surprise': 0.04029438822447102, 'Trust': 0.37221711131554736}",
